Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,outcome
80,0,2,1,2,1,26244,48,1,1
78,0,2,1,2,1,17165,48,1,1
30,0,2,1,2,0,8358,9,1,1
30,0,2,1,2,1,8358,23,1,1
26,0,2,1,2,1,8358,17,1,1
74,0,2,1,2,1,8358,48,1,1
60,0,2,1,2,1,8358,48,0,1
45,0,2,1,2,1,8358,48,1,1
52,0,2,1,2,1,15022,48,1,1
30,0,2,1,2,2,8358,16,1,1
30,1,2,1,2,1,8358,32,1,1
30,0,2,1,1,1,8358,17,1,1
73,0,2,1,2,0,8358,48,1,1
68,0,2,1,2,1,8358,48,2,1
73,0,2,1,1,1,8358,48,1,1
60,0,2,1,2,1,8358,29,1,1
41,0,1,1,2,1,8358,48,1,1
45,0,2,1,1,1,8358,48,1,1
30,0,2,1,2,1,21065,10,1,1
41,0,2,1,2,1,8358,48,1,1
55,0,2,2,2,1,8358,48,1,1
30,0,2,1,2,1,8358,7,1,1
71,0,2,1,2,1,5485,48,1,1
51,0,1,1,2,1,8358,48,1,1
68,0,2,1,2,1,8358,48,1,1
30,0,2,1,3,1,8358,32,1,1
39,0,2,1,2,1,8358,48,6,1
42,0,2,0,2,1,8358,48,1,1
30,0,2,1,2,1,8358,5,1,1
62,0,2,1,2,2,8358,48,1,1
78,0,3,1,2,1,8358,48,1,1
30,0,2,1,2,1,8358,17,1,1
30,0,2,2,2,1,8358,13,1,1
64,0,1,1,2,1,8358,48,1,1
78,0,2,1,2,1,8358,48,1,1
30,0,2,1,2,1,8358,15,1,1
30,0,2,1,2,1,8358,19,1,1
49,0,2,1,2,1,8358,48,1,1
51,0,2,1,2,1,8358,48,7,1
30,0,2,1,2,1,8358,14,1,1
59,0,2,1,2,2,8358,48,1,1
30,0,2,1,2,1,8358,9,1,1
52,0,2,1,2,1,8358,48,1,1
44,0,2,1,2,1,8358,48,1,1
76,0,2,1,1,1,8358,48,1,1
52,0,3,1,2,1,8358,48,1,1
30,0,2,1,2,1,8358,22,0,1
55,0,2,1,2,1,8358,48,1,1
73,0,2,2,2,1,8358,48,1,1
