Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,outcome
32,1,2,1,0,1,2273,18,1,1
76,1,2,0,0,1,38372,36,3,1
67,1,2,0,0,1,2273,36,3,1
78,1,2,1,2,1,2273,36,3,1
69,1,2,1,0,1,2273,28,3,1
48,1,3,1,0,0,2273,36,3,1
77,1,2,1,1,1,2273,36,3,1
73,1,2,1,0,1,2273,36,2,1
32,1,3,1,0,1,2273,24,3,1
59,1,2,1,0,0,2273,36,3,1
57,1,2,1,1,1,24330,36,3,1
32,1,2,1,0,1,2273,15,3,1
53,1,2,1,2,1,2273,36,3,1
76,1,2,1,0,1,1476,36,0,1
57,1,2,1,0,1,2273,26,3,1
65,1,0,1,3,1,2273,36,3,1
80,1,3,1,0,1,2273,43,3,1
32,1,2,1,0,2,2273,3,7,1
72,1,2,1,3,1,2273,11,3,1
76,1,2,1,0,1,2273,36,0,1
32,1,2,0,0,1,9414,36,4,1
62,1,2,1,0,1,2273,36,3,1
59,1,2,1,3,1,2273,36,3,1
32,1,2,1,2,1,2273,18,3,1
56,1,2,1,0,2,2273,36,3,1
32,1,2,1,0,1,5126,36,3,1
61,1,2,1,0,1,8128,36,3,1
32,1,1,2,0,1,2273,20,3,1
63,1,2,1,0,1,2273,36,3,1
25,1,2,1,0,1,2273,3,3,1
70,1,2,1,0,1,2273,36,3,1
66,1,3,1,0,1,2273,36,3,1
74,1,2,1,0,2,2273,36,5,1
72,1,2,1,0,1,2273,36,0,1
32,1,2,1,0,1,2273,17,3,1
32,1,2,1,0,1,8894,36,3,1
51,1,3,1,2,1,2273,36,3,1
63,1,2,1,0,1,2273,29,3,1
32,1,2,2,3,1,2273,12,3,1
32,1,2,1,0,1,7728,36,3,1
50,1,2,1,0,1,2273,36,3,1
32,1,2,1,3,1,11339,36,3,1
66,1,3,1,0,1,2273,25,3,1
32,1,2,1,0,1,8128,36,3,1
32,1,2,1,2,1,2273,25,3,1
32,0,2,1,0,1,2273,10,3,1
32,1,2,1,0,0,2273,12,7,1
61,1,0,1,0,2,2273,36,3,1
61,1,0,1,2,1,2273,36,3,1
51,1,2,1,0,1,2273,36,3,1
44,1,3,1,0,1,2273,36,3,1
32,1,2,1,0,1,2273,9,3,1
32,1,2,1,0,1,6090,36,3,1
78,1,2,1,0,1,2273,36,3,1
61,0,2,1,0,1,2273,42,3,1
72,1,1,1,0,1,2208,36,3,1
32,1,2,1,0,1,11683,36,7,1
78,1,1,1,0,1,2273,36,3,1
32,1,2,1,3,2,2273,36,7,1
64,1,2,1,2,1,2273,36,3,1
72,1,2,1,0,2,2273,36,3,1
32,1,2,1,0,1,4562,36,3,1
62,1,2,2,0,1,2273,36,3,1
32,1,2,1,0,1,2273,16,3,1
32,1,2,1,0,2,2273,21,3,1
66,1,2,1,0,2,8595,36,3,1
32,1,2,1,0,1,2273,28,3,1
78,0,2,1,0,1,2273,36,3,1
32,1,2,1,0,1,2273,20,3,1
47,1,2,2,0,1,2273,36,6,1
30,1,2,1,0,1,2273,23,3,1
61,1,2,1,0,1,2273,36,3,1
76,1,1,1,0,1,2273,36,3,1
71,1,2,0,0,1,2273,36,3,1
68,1,2,1,0,2,2273,36,7,1
77,1,2,1,0,1,28056,36,3,1
44,1,2,2,0,1,2273,26,3,1
70,1,2,1,0,2,20676,36,3,1
32,1,3,1,0,1,2273,10,1,1
46,0,2,1,0,1,2273,36,3,1
68,1,2,1,0,1,2273,36,3,1
32,1,2,1,0,2,8894,36,3,1
77,1,2,1,0,1,2273,36,3,1
48,1,2,2,0,1,2273,36,3,1
78,1,2,1,0,0,2273,36,3,1
45,1,1,0,0,1,2273,36,3,1
61,1,2,1,0,1,2273,36,4,1
79,1,2,1,0,1,2273,36,3,1
55,0,2,1,0,1,2273,36,7,1
32,1,2,1,0,1,6460,36,4,1
70,1,2,1,0,2,2273,36,3,1
52,1,2,1,0,1,2273,36,3,1
52,1,2,1,0,2,2273,36,2,1
76,1,2,1,0,1,2273,36,3,1
32,1,2,1,0,1,2273,7,3,1
80,1,2,1,0,2,2273,31,3,1
51,1,0,1,1,1,2273,36,3,1
70,1,2,1,0,1,2273,3,3,1
55,1,2,1,0,1,21954,36,3,1
47,0,2,1,0,1,3654,36,3,1
29,1,2,1,0,1,6325,36,3,1
32,1,2,1,0,0,2273,18,1,1
73,1,2,1,0,1,15870,36,3,1
60,1,2,1,0,1,2273,36,3,1
80,1,2,1,0,2,2273,36,0,1
54,1,3,1,0,1,2273,36,3,1
80,1,2,1,0,1,15923,36,3,1
32,1,2,1,1,1,2273,15,3,1
72,1,2,2,0,1,4562,36,3,1
32,1,2,1,0,1,9019,36,3,1
57,1,2,1,1,1,2273,36,3,1
32,1,2,1,0,1,2273,10,1,1
32,1,2,1,0,1,5274,36,3,1
59,1,3,1,0,1,2273,36,0,1
51,1,2,1,0,0,2273,36,2,1
77,1,2,1,0,1,28343,36,3,1
74,1,2,1,0,1,2273,36,5,1
32,1,2,2,1,1,2273,3,3,1
76,1,2,1,0,1,33640,36,3,1
68,1,2,1,1,1,2273,36,3,1
55,1,2,1,0,1,2273,36,0,1
32,0,2,1,2,1,2273,15,3,1
57,1,2,1,0,1,2273,26,1,1
56,1,2,0,1,1,2273,36,3,1
32,1,1,2,0,1,2273,4,3,1
53,1,3,1,0,1,2273,36,3,1
32,1,2,1,0,1,5274,36,0,1
44,1,2,1,3,1,2273,36,3,1
80,1,2,1,0,1,2273,36,0,1
48,1,2,2,0,1,2273,36,2,1
71,1,2,0,0,0,2273,36,3,1
32,1,2,1,3,1,2273,17,3,1
28,1,2,1,0,1,2273,19,3,1
32,1,2,1,2,2,3822,36,3,1
69,1,2,0,0,1,2273,36,3,1
32,1,2,2,0,1,2273,16,3,1
32,1,2,1,0,0,2273,25,3,1
63,1,2,0,0,1,10182,36,3,1
71,1,2,0,0,1,2273,36,7,1
70,1,0,1,0,1,2273,36,3,1
65,1,2,1,0,1,28983,36,3,1
45,1,2,1,0,1,10193,36,5,1
76,1,2,1,0,1,2273,7,3,1
34,1,2,0,0,1,9136,36,3,1
66,0,2,1,0,2,2273,36,3,1
59,1,2,1,0,1,2273,36,3,1
32,1,2,1,0,1,2273,7,5,1
32,1,2,1,0,1,2273,28,5,1
73,1,2,1,0,1,2273,36,3,1
77,1,2,1,3,0,2273,36,3,1
59,0,2,1,0,1,2273,36,3,1
49,1,0,1,0,1,2273,36,3,1
32,1,2,1,0,1,6797,36,4,1
72,1,2,1,3,1,2273,36,3,1
57,1,2,1,0,1,2273,36,3,1
75,1,2,1,0,1,2273,12,3,1
75,1,2,1,3,2,2273,36,3,1
32,1,2,1,0,1,4835,36,3,1
54,1,2,1,0,2,2273,36,3,1
78,1,2,1,1,1,2273,36,3,1
32,0,2,1,0,1,2273,23,3,1
67,1,2,1,0,1,14403,36,7,1
52,1,1,1,0,0,2273,36,3,1
48,1,2,1,0,1,2273,36,3,1
32,1,2,1,0,1,15624,10,3,1
32,1,2,1,1,1,5378,36,6,1
62,1,2,1,0,1,2273,13,3,1
48,1,2,1,0,0,2273,36,3,1
32,1,2,2,0,1,2273,26,3,1
75,1,2,1,0,1,2273,36,3,1
32,1,3,1,0,1,2273,11,3,1
32,1,1,1,0,1,2273,24,3,1
48,0,2,1,0,1,2273,36,3,1
32,1,2,1,0,1,2273,10,3,1
53,1,2,1,1,1,2273,36,3,1
32,1,2,0,0,1,2273,24,3,1
32,1,2,1,0,1,1831,3,3,1
78,1,2,2,0,0,2273,36,3,1
32,1,2,1,0,1,2273,26,3,1
