age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
20,4,432154,9,4,12,12,4,0,0,0,8,35
20,4,432154,9,4,12,12,4,0,0,0,8,26
20,4,432154,9,4,12,12,4,0,0,0,8,35
21,4,432154,9,4,12,12,4,0,0,0,8,30
20,4,432154,9,4,12,3,4,0,8000,0,8,26
20,4,432154,9,4,12,3,4,0,8000,0,8,27
21,4,432154,9,4,12,3,4,0,8000,0,8,26
20,4,432154,9,4,13,3,4,0,8000,100,8,26
20,4,432154,9,4,12,3,4,0,8000,0,8,35
20,4,432154,9,4,12,3,4,0,8000,0,8,35
20,4,433054,9,4,12,3,4,0,8000,0,8,36
20,4,432154,9,4,12,3,4,0,8000,100,8,40
20,4,432154,9,4,12,3,4,0,8900,100,8,26
29,4,440154,9,4,12,12,4,0,0,0,8,26
20,4,432154,10,4,12,12,4,0,0,0,8,26
20,4,432154,9,4,12,3,4,0,16000,100,8,26
