age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
21,4,187088,10,4,1,3,3,0,9000,0,20,14
21,4,187088,10,4,1,3,3,0,9000,0,20,14
21,4,187088,10,4,1,3,3,0,9000,0,20,14
21,4,187088,10,4,1,3,3,0,9000,0,20,14
21,4,187088,10,4,1,3,3,0,9000,0,20,12
21,4,187088,10,4,1,3,3,0,9000,0,20,12
21,4,187088,10,4,1,3,3,0,9000,0,20,12
21,4,187088,10,4,1,3,3,0,9000,0,20,19
21,4,187088,10,4,1,3,3,0,9000,0,20,10
21,4,187088,10,4,1,3,3,0,9000,0,20,9
21,4,187088,10,4,1,3,3,0,9000,0,20,6
21,4,187088,10,4,1,3,3,0,9000,0,20,6
21,4,187088,10,4,1,3,3,0,9000,0,20,4
21,4,187088,10,4,1,12,3,0,0,0,20,5
21,4,187088,10,4,8,3,3,0,9000,0,20,5
21,4,187088,10,4,1,3,3,0,9000,0,20,-3
21,4,187088,10,4,1,3,3,0,9000,0,24,5
26,4,187088,10,4,1,3,3,0,9000,0,20,5
21,4,187088,10,4,1,3,3,0,9000,0,25,5
21,4,187088,10,4,1,3,3,0,9000,0,29,5
21,4,187088,10,4,1,3,12,0,9000,0,20,5
21,4,187088,10,4,1,3,3,0,13000,0,20,5
21,4,187088,10,4,1,3,3,0,13000,0,20,5
21,4,187088,10,4,1,3,3,0,13000,0,20,5
