age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
22,0,196280,10,4,0,3,4,1,8000,0,29,39
22,0,196280,10,4,0,3,4,0,8000,0,28,39
22,0,196280,10,4,0,3,4,0,8000,0,28,39
22,0,196280,10,4,0,3,4,0,9000,0,19,39
22,0,196280,10,4,0,3,4,0,9000,0,20,39
28,0,196280,10,4,0,11,4,1,0,0,20,44
30,0,196280,10,4,0,3,4,0,8000,0,20,39
22,0,196280,10,4,0,3,4,0,10000,0,20,39
22,0,196280,18,4,0,3,4,0,6000,0,20,39
22,0,196280,18,4,0,3,4,0,8000,0,20,39
22,0,196280,10,4,0,3,4,0,16000,0,20,39
22,0,196280,10,4,0,3,4,0,16000,0,20,39
22,0,196280,10,4,0,3,4,1,15700,0,20,39
22,0,196280,10,4,0,3,4,0,16000,0,20,39
22,0,196280,10,4,0,3,4,0,16000,0,20,39
22,0,196280,10,4,0,3,4,0,15000,0,20,39
