age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
19,0,52114,10,4,0,3,4,0,9700,0,10,39
19,0,52114,10,4,0,3,4,0,11000,0,10,39
19,0,52114,10,4,0,3,4,0,9000,0,34,39
19,0,44114,10,4,0,3,4,0,11700,0,18,39
19,0,52614,10,4,0,3,4,0,13000,0,10,39
19,0,52114,10,4,0,3,4,0,17000,0,10,39
19,0,52114,10,4,0,3,4,0,15000,0,10,39
19,0,52114,10,4,0,3,4,0,16000,0,10,39
19,0,52114,10,4,0,3,4,0,15000,0,10,39
19,0,52114,10,4,0,3,4,0,15000,0,10,39
19,0,52114,10,4,0,3,4,0,16000,0,10,39
19,0,52114,10,4,0,3,4,0,15000,0,10,39
19,0,52114,10,4,0,3,4,0,15000,0,10,39
