age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,7,397962,15,4,1,2,2,0,0,0,40,39
25,4,397962,9,4,1,2,10,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,15,4,1,2,2,0,0,0,40,39
28,4,397962,9,4,1,10,2,0,0,0,40,30
25,4,397962,12,4,1,10,2,0,0,0,40,39
25,4,397962,15,4,1,2,2,0,0,0,46,39
30,4,397962,15,4,1,2,2,0,0,0,40,39
30,4,397962,15,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,2,2,2,0,0,0,40,39
25,4,392962,16,4,1,2,2,0,0,0,40,39
25,4,397462,16,4,1,2,2,0,0,0,40,39
25,4,397462,16,4,1,2,2,0,0,0,40,39
25,4,397462,16,4,1,2,2,0,0,0,40,39
25,4,397662,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,398462,16,4,1,2,2,0,0,0,40,39
25,4,398462,16,4,1,2,2,0,0,0,40,39
25,4,399962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,100,0,40,39
31,4,398662,15,4,1,2,2,0,0,0,40,39
31,4,397962,15,4,1,2,2,0,0,0,40,39
31,4,397962,15,4,1,2,2,0,0,0,40,39
25,4,404962,16,4,1,2,2,0,0,0,40,39
32,4,397962,15,4,1,2,2,0,0,0,40,39
22,4,397962,17,4,1,2,2,0,0,0,40,39
33,4,397962,15,4,1,2,2,0,0,0,40,39
25,10,397962,16,4,1,2,2,0,0,0,40,39
28,4,397962,16,4,1,2,2,0,0,0,40,39
28,4,397962,16,4,1,2,2,0,0,0,40,39
31,4,397962,16,4,1,2,2,0,0,0,40,39
30,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,17,4,1,3,2,0,0,0,40,39
25,4,397962,17,4,1,2,2,0,0,0,40,39
25,4,397962,17,4,1,2,2,0,0,0,40,39
25,4,397962,17,4,1,2,2,0,0,0,40,39
25,4,400962,17,4,1,2,2,0,0,0,40,39
26,4,397962,17,4,1,2,2,0,0,0,40,39
31,4,397962,17,4,1,2,2,0,0,0,40,39
25,4,397962,18,4,1,2,2,0,0,0,40,39
25,4,397962,24,4,1,2,2,0,0,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
25,4,397962,15,4,1,2,2,0,9000,0,40,39
