Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,outcome
64,1,2,0,0,1,6288,60,3,1
61,1,2,0,0,1,6288,60,7,1
42,1,2,0,0,1,6288,24,1,1
42,1,1,0,0,1,6288,3,3,1
22,1,2,0,3,1,6288,19,3,1
42,1,1,0,0,1,6288,29,3,1
66,1,2,0,0,0,6288,60,3,1
24,1,2,0,0,1,6288,18,3,1
77,1,2,0,0,1,6288,60,3,1
42,1,2,0,0,1,6288,17,3,1
42,0,2,0,1,1,6288,22,3,1
71,0,2,0,0,0,6288,60,3,1
42,1,2,2,0,1,6288,19,3,1
71,1,2,0,0,1,6288,34,3,1
42,1,2,0,0,1,34537,5,3,1
42,1,2,0,0,1,6288,50,3,1
42,1,2,0,0,1,6288,24,4,1
65,1,0,0,0,1,6288,60,3,1
72,1,2,0,0,1,6288,60,3,1
42,1,2,2,0,1,6288,8,2,1
68,1,3,0,0,1,6288,60,3,1
42,1,2,0,2,1,6288,28,3,1
42,1,2,1,0,1,6288,32,3,1
42,1,2,0,0,1,6288,23,3,1
42,1,2,0,2,0,6288,50,3,1
62,1,2,0,2,1,6288,60,3,1
42,1,2,0,0,1,6288,35,3,1
42,1,2,0,0,1,6288,39,3,1
69,1,2,0,2,1,6288,60,0,1
78,1,2,0,0,1,25446,23,3,1
42,1,2,0,0,1,6288,32,3,1
66,1,3,0,0,1,9692,60,3,1
42,1,2,0,0,1,12775,24,4,1
67,1,0,0,0,1,6288,60,3,1
42,1,2,0,0,1,6288,6,3,1
42,1,2,0,0,0,6288,28,3,1
42,1,2,0,0,1,6288,43,0,1
42,1,2,0,3,1,5636,49,3,1
42,1,2,0,0,1,6288,14,3,1
42,1,2,0,0,1,6288,27,2,1
42,1,2,0,0,1,6288,20,0,1
42,0,2,0,0,2,6288,22,3,1
42,1,2,1,1,1,6288,9,3,1
42,1,2,0,0,1,6288,24,0,1
42,1,2,0,0,2,6288,51,3,1
42,0,2,0,0,2,6288,30,3,1
65,1,2,1,0,1,6288,60,3,1
42,1,2,0,0,1,6288,42,3,1
65,1,2,0,0,1,6288,60,3,1
42,1,2,0,0,1,6288,33,3,1
73,1,0,0,0,1,6288,60,3,1
77,1,2,0,0,1,6288,29,3,1
67,1,2,0,0,1,6288,60,3,1
58,1,2,0,3,1,6288,33,3,1
61,1,2,0,0,1,6288,60,3,1
42,1,2,2,0,1,6288,36,5,1
42,1,2,2,0,1,6288,45,5,1
77,1,2,0,2,0,6288,60,3,1
42,0,2,0,0,1,6288,11,3,1
42,1,2,0,0,1,6288,8,3,1
63,1,2,2,0,1,6288,60,3,1
67,1,2,0,0,2,6288,35,3,1
52,1,2,0,0,1,6288,42,3,1
77,0,2,0,0,2,6288,60,3,1
62,1,3,0,0,1,6288,60,3,1
37,1,2,0,0,1,6288,14,3,1
42,1,2,0,0,1,6288,30,3,1
61,0,2,0,0,2,6288,60,3,1
39,1,2,0,0,1,6288,40,3,1
60,1,2,0,0,1,6288,37,3,1
42,1,3,0,0,1,6288,14,3,1
42,1,2,0,2,1,6288,25,3,1
64,1,2,0,2,1,6288,60,3,1
63,1,3,0,0,1,6288,60,3,1
42,1,2,1,0,1,12169,26,3,1
60,1,2,0,0,1,6288,60,7,1
64,1,1,0,0,1,6288,60,3,1
67,1,2,0,0,1,6288,60,2,1
42,1,2,0,1,1,6288,37,3,1
42,1,2,0,0,2,9629,16,3,1
42,1,2,0,3,1,6288,16,3,1
71,0,2,0,0,1,6288,60,3,1
79,1,3,0,2,1,6288,60,3,1
42,1,2,0,0,2,6288,8,3,1
80,1,2,2,0,1,6288,60,3,1
42,1,2,0,0,1,6288,27,1,1
42,1,2,0,0,1,6288,29,5,1
71,1,3,0,0,2,6288,60,3,1
42,1,2,0,0,1,6288,22,3,1
66,1,2,1,0,1,6288,60,1,1
63,1,2,0,0,1,8041,60,3,1
42,1,2,0,0,1,6288,12,3,1
68,1,2,2,0,1,6288,60,3,1
42,1,2,0,1,1,6288,50,5,1
67,1,0,0,0,1,6288,60,0,1
42,1,0,0,0,1,6288,30,2,1
79,1,2,0,0,1,6999,60,3,1
77,1,2,0,0,0,6288,60,3,1
78,1,2,0,1,1,6288,60,3,1
42,1,2,0,0,0,6288,13,3,1
72,0,2,2,0,1,6288,60,3,1
58,1,2,0,0,1,6288,60,7,1
42,1,2,0,0,1,6288,36,5,1
42,1,2,0,0,2,6288,16,3,1
42,1,2,0,0,1,6288,4,7,1
19,1,2,0,0,1,6288,21,3,1
56,1,2,0,0,1,6288,36,3,1
42,0,2,0,1,1,6288,38,3,1
72,1,2,0,0,0,6288,60,3,1
42,1,0,0,0,0,6288,7,3,1
45,1,2,0,0,1,6288,24,1,1
42,1,2,0,0,2,6288,30,3,1
42,1,2,0,0,1,6288,45,5,1
58,1,2,0,3,1,6288,60,3,1
66,1,2,0,3,1,6288,60,3,1
79,1,2,0,0,1,24481,60,3,1
77,1,2,0,0,1,6288,23,3,1
42,1,2,0,1,1,6288,22,3,1
42,1,2,0,0,1,6288,19,3,1
76,1,2,0,0,1,6288,60,3,1
42,1,2,1,0,1,6288,11,3,1
69,1,2,0,0,1,6981,60,3,1
27,1,2,1,0,1,6288,11,3,1
67,0,2,0,0,1,6288,60,3,1
23,1,2,0,0,1,6288,28,3,1
74,1,2,1,0,1,6288,60,3,1
69,1,2,0,0,1,6297,60,3,1
22,1,2,0,0,1,6288,19,3,1
69,1,2,0,0,1,6288,27,3,1
60,1,2,0,0,1,13080,37,3,1
63,1,2,0,0,1,6288,60,7,1
42,1,2,0,3,1,6288,11,3,1
61,1,2,0,2,1,6288,33,3,1
42,0,2,0,0,1,5581,32,3,1
42,1,2,0,0,1,6288,28,3,1
58,1,2,0,0,1,5196,12,3,1
67,0,2,0,0,2,6288,60,3,1
65,1,2,0,0,2,6288,60,3,1
42,1,2,0,0,1,6288,46,3,1
42,1,2,0,2,1,6288,33,3,1
66,1,2,0,0,1,6288,47,3,1
43,1,2,0,0,1,6288,19,3,1
42,0,2,0,0,1,6288,30,3,1
79,1,2,0,2,1,6288,60,3,1
42,1,1,2,0,1,6288,10,3,1
42,1,2,0,3,1,6288,27,1,1
42,1,1,0,0,0,6288,33,3,1
42,0,2,0,0,1,6288,46,3,1
66,1,2,0,0,1,6288,60,0,1
78,1,2,0,0,1,6288,60,3,1
42,1,2,0,0,1,24261,19,3,1
36,1,2,0,0,1,6288,19,3,1
42,1,2,1,0,1,6288,26,3,1
42,1,0,0,0,1,6288,7,3,1
48,1,2,2,0,1,6288,14,3,1
69,1,0,0,0,1,6288,60,3,1
42,1,2,0,0,1,6288,15,3,1
79,1,2,2,0,1,6288,60,3,1
63,1,2,2,3,1,6288,60,3,1
62,1,1,0,0,1,6288,60,3,1
