gen	invalid	train_fitness	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	best_ind_phenotype
0	0	0.5395092368125916	22	66.22587719298245	9	29.085526315789473	6	12.695175438596491	44.33771929824562	15	0.9692982456140351	nan
1	54	(0.5395092368125916, 0.18534763157367706, 0.3333333333333333, 0.17810392379760742)	22	71.42431761786601	9	15.141439205955335	6	8.047146401985112	23.017369727047146	15	0.8446389496717724	nan
2	57	(0.5395092368125916, 0.18534763157367706, 0.3333333333333333, 0.17810392379760742)	22	63.39	9	12.5475	6	7.1825	19.1075	15	0.8008752735229759	nan
3	30	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	58.92037470725995	6	10.053864168618267	5	6.351288056206089	15.30679156908665	10	0.824945295404814	nan
4	28	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	50.91142191142191	6	7.2727272727272725	5	5.424242424242424	10.958041958041958	10	0.7417943107221007	nan
5	31	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	36.01173708920188	6	4.415492957746479	5	4.471830985915493	6.427230046948357	10	0.5776805251641138	nan
6	27	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	32.467441860465115	6	3.802325581395349	5	4.267441860465116	5.751162790697674	10	0.6017505470459519	nan
7	23	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	31.42396313364055	6	3.6359447004608296	5	4.211981566820277	5.596774193548387	10	0.5601750547045952	nan
8	22	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	29.94022988505747	6	3.4413793103448276	5	4.147126436781609	5.2459770114942526	10	0.47702407002188185	nan
9	18	(0.5349196493625641, 0.1388888955116272, 0.2222222222222222, 0.26595768332481384)	15	29.929384965831435	6	3.348519362186788	5	4.11617312072893	5.020501138952164	10	0.40043763676148797	nan
10	15	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	28.511312217194572	6	3.1153846153846154	5	4.038461538461538	4.778280542986425	10	0.3916849015317287	nan
11	17	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	31.48181818181818	6	3.0681818181818183	5	4.0227272727272725	4.702272727272727	10	0.36980306345733044	nan
12	11	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	31.457399103139014	6	3.0739910313901344	5	4.024663677130045	4.753363228699552	10	0.38293216630196936	nan
13	13	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	34.63963963963964	6	3.1013513513513513	5	4.033783783783784	4.8175675675675675	10	0.40700218818380746	nan
14	11	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	34.77354260089686	6	3.087443946188341	5	4.0291479820627805	4.778026905829597	10	0.37636761487964987	nan
15	6	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	33.72727272727273	6	3.0931263858093128	5	4.031042128603104	4.842572062084257	10	0.3916849015317287	nan
16	7	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	33.64	6	3.0733333333333333	5	4.024444444444445	4.8244444444444445	10	0.37636761487964987	nan
17	10	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	33.11856823266219	6	3.1140939597315436	5	4.038031319910514	4.910514541387025	10	0.3741794310722101	nan
18	6	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	35.15521064301552	6	3.106430155210643	5	4.035476718403547	4.88470066518847	10	0.4113785557986871	nan
19	13	(0.5192992985248566, 0.08040935546159744, 0.2222222222222222, 0.1563025265932083)	66	35.58783783783784	6	3.1283783783783785	5	4.042792792792793	4.885135135135135	10	0.3741794310722101	nan
20	5	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	34.34070796460177	9	3.1526548672566372	6	4.050884955752212	4.9734513274336285	15	0.4179431072210066	nan
21	6	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	36.42572062084257	9	3.1929046563192904	6	4.06430155210643	5.042128603104213	15	0.4201312910284464	nan
22	4	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	37.58057395143488	9	3.152317880794702	6	4.050772626931567	4.955849889624724	15	0.4048140043763676	nan
23	4	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	37.35099337748344	9	3.19205298013245	6	4.06401766004415	5.079470198675497	15	0.4048140043763676	nan
24	5	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	38.623893805309734	9	3.338495575221239	6	4.1128318584070795	5.245575221238938	15	0.3938730853391685	nan
25	6	(0.5138314962387085, 0.0555555559694767, 0.1111111111111111, 0.1641058623790741)	20	37.709534368070955	9	3.259423503325942	6	4.086474501108648	5.095343680709535	15	0.40043763676148797	nan
26	4	(0.4327048063278198, 0.09941520541906357, 0.2222222222222222, 0.1810927540063858)	114	39.28256070640177	12	3.384105960264901	7	4.1280353200883	5.2803532008830025	20	0.39606126914660833	nan
27	11	(0.394677996635437, 0.12280701845884323, 0.2222222222222222, 0.18610529601573944)	32	37.847533632286996	12	3.2152466367713006	7	4.071748878923767	5.017937219730942	20	0.38949671772428884	nan
28	4	(0.394677996635437, 0.12280701845884323, 0.2222222222222222, 0.18610529601573944)	32	40.33774834437086	12	3.2317880794701987	7	4.077262693156733	5.004415011037527	20	0.3610503282275711	nan
