age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,4,397962,9,4,1,-7,2,0,0,0,40,39
28,4,397962,9,4,1,2,10,0,0,0,40,39
25,4,397962,16,4,1,2,3,0,0,0,40,39
25,4,398262,9,4,1,2,10,0,0,0,40,39
25,4,397962,15,4,1,8,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,2000,40,39
25,4,405962,12,4,1,2,-3,0,0,0,40,39
25,4,397962,15,4,1,2,2,0,0,0,48,39
30,4,397962,15,4,1,3,2,0,0,0,40,39
30,4,397962,15,4,1,3,2,0,0,0,40,39
25,4,397662,16,4,1,2,2,0,0,0,40,39
25,4,397862,16,4,1,2,2,0,0,0,40,39
25,4,397862,16,4,1,2,2,0,0,0,40,39
25,4,397862,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,398062,16,4,1,2,2,0,0,0,40,39
25,4,398462,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,100,0,40,39
25,4,401962,16,4,1,2,2,0,0,0,40,39
25,4,403962,16,4,1,2,2,0,0,0,40,39
25,4,405962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,41,39
32,4,397962,15,4,1,2,2,0,0,0,40,39
25,4,397962,15,3,1,2,2,0,0,0,40,39
26,4,397962,16,4,1,2,2,0,0,0,40,39
26,4,397962,16,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,2,0,0,0,43,39
25,4,397962,18,4,1,2,3,0,0,0,40,39
26,4,397962,17,4,1,2,2,0,0,0,40,39
25,4,389962,18,4,1,2,2,0,0,0,40,39
25,4,397962,18,4,1,2,2,0,0,0,40,39
25,4,397962,18,4,1,2,2,0,0,0,40,39
25,4,397962,18,4,1,2,2,0,0,0,40,39
25,4,397962,19,4,1,2,2,0,0,0,40,39
25,4,397962,16,4,1,2,-2,0,0,0,42,39
25,4,398162,9,4,1,2,9,0,6000,0,40,39
25,4,397962,9,7,1,2,5,0,14000,0,40,39
25,4,397962,24,4,1,2,2,0,0,0,40,39
25,4,397962,9,4,1,2,2,0,14000,0,40,39
25,4,397962,9,4,1,2,2,0,20000,0,40,39
25,4,397962,9,4,1,2,2,0,13000,0,40,39
25,4,397962,9,4,1,2,2,0,14000,0,40,39
25,4,397962,9,4,1,2,2,1,13000,0,40,39
25,4,397962,9,4,1,2,2,0,20000,0,40,39
