age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
20,4,432154,9,4,12,12,4,0,0,0,8,27
20,4,426154,9,4,12,12,4,0,0,0,8,26
20,4,428154,9,4,12,12,4,0,0,0,8,32
28,4,431254,9,4,12,11,4,0,0,0,8,30
21,4,432154,9,4,12,12,4,0,0,0,8,25
20,4,431154,9,4,12,3,4,0,8000,0,8,26
23,4,432154,9,4,12,12,4,0,0,0,8,22
20,4,432154,9,4,12,3,4,0,8000,0,8,33
23,4,432154,9,4,12,3,4,0,8000,0,8,26
23,4,438454,9,4,12,3,4,0,8000,0,8,26
29,4,432154,9,4,12,12,4,0,0,0,8,32
28,4,432154,9,4,12,3,4,0,8000,0,8,26
20,4,432154,9,4,12,3,4,0,9000,0,8,34
24,4,432154,9,4,12,3,4,0,9000,0,8,26
20,4,432154,9,4,12,3,4,0,14000,0,8,26
20,4,432154,9,4,12,3,4,0,14000,0,8,26
