age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
17,6,186014,10,4,1,3,4,0,8000,0,12,11
20,6,186014,10,4,1,3,4,0,8000,0,15,11
20,6,186014,10,4,1,3,4,0,8000,0,12,12
20,6,186014,10,4,1,3,4,0,8000,0,14,11
12,6,186014,10,4,1,3,4,0,9000,0,12,11
20,6,186114,10,4,1,3,4,0,8000,0,13,11
32,6,185114,10,4,1,3,4,0,7000,0,12,11
21,6,186014,10,4,1,3,4,0,8000,0,12,3
20,6,186014,10,4,1,3,4,0,8000,0,22,11
20,8,186014,10,4,1,3,4,0,7500,0,13,11
20,6,186014,10,4,1,3,4,0,15000,0,12,11
20,6,186014,10,4,1,3,4,0,15000,0,12,11
20,6,186014,10,4,1,3,4,0,15000,0,12,11
